               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.027999,            0.012501,           0.0037509,             0.62604,             0.52041,             0.51686,             0.31509,             0.03958,           0.0080793,           0.0082342,            0.006073,            0.006073,            0.006073
                 121,            0.027806,            0.012328,           0.0035588,             0.58619,             0.55712,             0.53159,             0.32525,            0.039527,           0.0081021,            0.007468,             0.00604,             0.00604,             0.00604
                 122,             0.02777,            0.012657,           0.0042358,             0.63824,             0.53791,             0.53728,             0.32459,            0.039168,           0.0078541,           0.0071012,            0.006007,            0.006007,            0.006007
                 123,            0.027659,            0.012277,           0.0038735,             0.59894,             0.55711,             0.52793,             0.31937,            0.038302,           0.0081115,           0.0077071,            0.005974,            0.005974,            0.005974
                 124,            0.027227,            0.012203,           0.0034981,             0.62823,             0.55724,             0.52652,              0.3142,            0.038977,           0.0081441,           0.0086843,            0.005941,            0.005941,            0.005941
                 125,            0.027604,            0.012115,           0.0034886,              0.6185,              0.5911,             0.53812,             0.32449,            0.039691,           0.0077507,           0.0090313,            0.005908,            0.005908,            0.005908
                 126,            0.026669,            0.012025,           0.0036971,             0.60798,             0.56859,              0.5289,             0.32697,            0.039388,           0.0083306,           0.0087401,            0.005875,            0.005875,            0.005875
                 127,            0.026869,            0.012125,           0.0030976,             0.66479,             0.54859,             0.53785,             0.33838,            0.037646,           0.0078413,           0.0082567,            0.005842,            0.005842,            0.005842
                 128,            0.027083,            0.011976,           0.0035411,             0.65018,             0.53011,             0.53114,             0.31774,            0.039417,           0.0078888,           0.0083106,            0.005809,            0.005809,            0.005809
                 129,            0.027308,            0.012004,           0.0034528,             0.65251,             0.54529,             0.53935,              0.3321,            0.038289,           0.0079158,           0.0085187,            0.005776,            0.005776,            0.005776
                 130,            0.026749,            0.012093,           0.0032439,             0.60232,             0.55351,             0.51504,             0.31698,            0.038709,           0.0079194,           0.0076555,            0.005743,            0.005743,            0.005743
                 131,            0.027262,            0.011873,           0.0034152,             0.64945,             0.53817,             0.51773,              0.3176,            0.038765,           0.0082862,           0.0072301,             0.00571,             0.00571,             0.00571
                 132,            0.026559,            0.011737,           0.0035848,             0.65612,             0.56336,             0.52863,             0.32398,            0.038342,           0.0084093,           0.0074013,            0.005677,            0.005677,            0.005677
                 133,             0.02667,            0.012164,           0.0035585,             0.64218,               0.553,             0.52398,             0.32352,            0.039425,           0.0083845,           0.0080368,            0.005644,            0.005644,            0.005644
                 134,             0.02663,             0.01193,           0.0037499,             0.64117,             0.55713,             0.51969,             0.32327,            0.039472,           0.0082705,           0.0075685,            0.005611,            0.005611,            0.005611
                 135,            0.026994,            0.012231,           0.0037457,              0.6438,             0.56091,             0.53147,             0.32455,            0.038077,           0.0080338,           0.0082869,            0.005578,            0.005578,            0.005578
                 136,            0.026807,            0.011828,           0.0040978,              0.6552,             0.54886,             0.52857,             0.33274,            0.038931,           0.0082348,           0.0080175,            0.005545,            0.005545,            0.005545
                 137,            0.026093,            0.011992,           0.0035323,             0.65634,             0.54171,             0.53068,             0.32684,            0.039112,           0.0082609,           0.0077446,            0.005512,            0.005512,            0.005512
                 138,            0.025967,            0.012106,           0.0035313,             0.66761,             0.52423,             0.51439,             0.31722,            0.039458,            0.008496,           0.0071671,            0.005479,            0.005479,            0.005479
                 139,            0.026245,            0.011799,           0.0034452,             0.70655,             0.54042,             0.53219,             0.33242,            0.038846,           0.0081052,           0.0084366,            0.005446,            0.005446,            0.005446
                 140,            0.026251,            0.011337,            0.003427,             0.67767,             0.54736,             0.54129,             0.33481,            0.038708,           0.0080969,           0.0081249,            0.005413,            0.005413,            0.005413
                 141,            0.025566,            0.011811,           0.0028809,             0.64104,             0.52522,             0.51229,             0.31504,            0.038891,            0.008272,           0.0085712,             0.00538,             0.00538,             0.00538
                 142,            0.025211,            0.011115,            0.003296,             0.58442,             0.58038,             0.53016,             0.33374,             0.03828,           0.0081517,           0.0076094,            0.005347,            0.005347,            0.005347
                 143,            0.025538,            0.011676,           0.0030898,             0.66666,             0.53602,             0.53747,             0.33176,            0.037837,           0.0080203,           0.0074772,            0.005314,            0.005314,            0.005314
                 144,             0.02562,            0.011695,            0.003339,             0.67839,             0.54914,             0.53013,             0.33069,            0.037643,             0.00859,           0.0080281,            0.005281,            0.005281,            0.005281
                 145,            0.025685,            0.011626,           0.0032848,             0.62758,             0.54979,             0.51164,             0.31841,            0.038341,           0.0083081,           0.0082697,            0.005248,            0.005248,            0.005248
                 146,            0.025945,            0.011273,           0.0035253,             0.65879,             0.56015,             0.53617,              0.3322,            0.037883,           0.0081597,           0.0080162,            0.005215,            0.005215,            0.005215
                 147,            0.025874,            0.011121,           0.0034349,              0.6451,             0.55315,             0.54874,             0.33672,            0.038259,            0.008248,           0.0082819,            0.005182,            0.005182,            0.005182
                 148,            0.026325,             0.01139,           0.0035111,             0.65232,             0.56028,             0.52756,             0.33368,             0.03899,            0.008275,           0.0085191,            0.005149,            0.005149,            0.005149
                 149,            0.025684,            0.011147,           0.0032286,             0.62223,             0.54827,             0.52652,             0.33177,            0.038372,           0.0082917,           0.0075179,            0.005116,            0.005116,            0.005116
                 150,            0.025365,            0.011356,           0.0031115,             0.64688,             0.55633,             0.52494,              0.3364,            0.037537,           0.0083385,            0.012212,            0.005083,            0.005083,            0.005083
                 151,            0.025101,             0.01133,           0.0032785,             0.63556,             0.55855,             0.52122,             0.32461,            0.038434,           0.0083986,            0.012712,             0.00505,             0.00505,             0.00505
                 152,            0.025069,            0.011543,           0.0033645,             0.64679,             0.54362,             0.52877,             0.34159,            0.039017,           0.0082619,           0.0080377,            0.005017,            0.005017,            0.005017
                 153,            0.024854,            0.011395,           0.0031246,             0.66322,              0.5508,             0.52991,             0.32766,            0.038734,           0.0085462,           0.0077655,            0.004984,            0.004984,            0.004984
                 154,            0.024529,            0.011345,           0.0032525,             0.59696,              0.5861,             0.53723,             0.33791,            0.038814,           0.0082193,           0.0073948,            0.004951,            0.004951,            0.004951
                 155,            0.025101,            0.011341,           0.0032946,              0.6061,             0.58393,             0.54176,             0.33167,            0.038733,           0.0082444,            0.010144,            0.004918,            0.004918,            0.004918
                 156,            0.024311,            0.011367,           0.0030425,             0.65621,             0.53832,              0.5424,             0.33864,            0.038563,           0.0083851,           0.0089896,            0.004885,            0.004885,            0.004885
                 157,            0.024903,            0.011252,           0.0031354,             0.64976,             0.54434,             0.52927,             0.33068,            0.038137,           0.0082497,           0.0080179,            0.004852,            0.004852,            0.004852
                 158,            0.024541,            0.011185,           0.0033754,             0.67725,             0.57667,             0.54623,             0.35018,            0.038457,           0.0083252,           0.0076617,            0.004819,            0.004819,            0.004819
